,EHPK-1,EHPK-2,GHEX-1,GHEX-2,GHEX-3,GHEX-4,日時
2019-02-02,3.0,1.0,2.0,1.0,1.0,1.0,2019-02-02
2019-02-03,23.0,2.0,2.0,2.0,1.0,1.0,2019-02-03
2019-02-04,26.0,1.0,12.0,6.0,8.0,8.0,2019-02-04
2019-02-05,31.0,1.0,30.0,17.0,19.0,15.0,2019-02-05
2019-02-06,33.0,2.0,31.0,16.0,19.0,15.0,2019-02-06
2019-02-07,29.0,1.0,25.0,12.0,13.0,13.0,2019-02-07
2019-02-08,31.0,2.0,30.0,16.0,18.0,15.0,2019-02-08
2019-02-09,3.0,1.0,2.0,1.0,1.0,1.0,2019-02-09
2019-02-10,3.0,2.0,1.0,1.0,2.0,1.0,2019-02-10
2019-02-11,3.0,1.0,2.0,2.0,1.0,2.0,2019-02-11
2019-02-12,33.0,2.0,30.0,15.0,19.0,15.0,2019-02-12
2019-02-13,33.0,1.0,33.0,17.0,20.0,17.0,2019-02-13
2019-02-14,35.0,2.0,32.0,17.0,20.0,16.0,2019-02-14
2019-02-15,36.0,1.0,33.0,17.0,22.0,16.0,2019-02-15
2019-02-16,9.0,2.0,2.0,2.0,1.0,1.0,2019-02-16
2019-02-17,3.0,1.0,2.0,1.0,1.0,1.0,2019-02-17
2019-02-18,28.0,1.0,24.0,16.0,17.0,16.0,2019-02-18
2019-02-19,28.0,2.0,27.0,15.0,17.0,16.0,2019-02-19
2019-02-20,19.0,1.0,13.0,6.0,5.0,7.0,2019-02-20
2019-02-21,24.0,2.0,22.0,9.0,10.0,15.0,2019-02-21
2019-02-22,21.0,1.0,24.0,10.0,9.0,17.0,2019-02-22
2019-02-23,3.0,2.0,2.0,1.0,1.0,1.0,2019-02-23
2019-02-24,3.0,1.0,1.0,1.0,1.0,1.0,2019-02-24
2019-02-25,18.0,1.0,20.0,7.0,8.0,11.0,2019-02-25
2019-02-26,14.0,2.0,24.0,16.0,10.0,15.0,2019-02-26
2019-02-27,23.0,1.0,29.0,15.0,16.0,15.0,2019-02-27
2019-02-28,22.0,2.0,30.0,15.0,17.0,15.0,2019-02-28
2019-03-01,27.0,1.0,24.0,14.0,10.0,15.0,2019-03-01
2019-03-02,14.0,2.0,2.0,1.0,1.0,1.0,2019-03-02
2019-03-03,4.0,1.0,1.0,2.0,1.0,1.0,2019-03-03
2019-03-04,26.0,2.0,28.0,15.0,17.0,15.0,2019-03-04
2019-03-05,23.0,1.0,22.0,11.0,9.0,16.0,2019-03-05
