,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
1303,1.16,1.0,1.0
1304,1.21,1.0,1.0
1306,1.13,1.0,1.0
1307,1.11,1.0,1.0
1308,1.24,1.0,1.0
1309,1.04,1.0,1.0
1310,1.13,1.0,0.99
1311,1.32,1.0,0.99
1313,1.19,1.0,1.0
1315,1.07,1.0,1.0
1316,1.08,1.0,1.0
1317,1.1,1.0,1.0
1318,1.32,2.0,2.02
1319,1.04,1.0,1.0
1320,1.09,1.0,1.0
1321,1.09,1.0,1.0
1322,1.09,1.0,1.0
1324,1.44,2.0,2.03
1326,1.34,1.0,1.0
1328,1.05,1.0,1.0
1329,1.35,2.0,2.03
1331,1.18,1.0,1.0
1334,1.22,1.0,1.0
1335,1.53,2.0,2.01
1336,1.14,1.0,1.0
1337,1.26,1.0,1.0
1338,1.5,2.0,2.03
1339,1.34,1.0,1.0
1340,1.39,2.0,2.01
1341,1.23,1.0,1.0
1343,1.05,1.0,1.0
1345,1.6,2.0,1.99
1347,1.55,2.0,1.98
1348,1.3,1.0,1.0
1350,1.16,1.0,0.99
1351,1.6,2.0,2.0
1352,1.22,1.0,0.99
1353,1.48,2.0,1.98
1354,1.22,1.0,1.0
1355,1.4,2.0,2.02
1356,1.22,1.0,0.99
1357,1.28,1.0,1.0
